avgLdpcIterations;ulBytes;pmi;rsrp;cqi;pucchSnr;rssi;ueId;inSync;dlBytes;dlMcs;ulMcs;ulBler;ri;pcmax;puschSnr;dlBler;phr;rsrq;sinr
5.3;280347.0;-11,1;-77.0;15.0;12.0;83.4;210;1.0;77865.0;9.0;6.0;0.2928240000;2.0;24.0;17.0;0.0000000000;52.0;-10.5;23.5
5.1;283325.0;-11,1;-79.0;15.0;18.0;80.1;210;1.0;78739.0;9.0;6.0;0.4474670000;2.0;24.0;13.5;0.0000000000;52.0;-10.5;23.5
5.0;286572.0;-13,1;-79.0;15.0;18.0;83.5;210;1.0;79613.0;9.0;6.0;0.6859370000;2.0;24.0;18.0;0.0000000000;52.0;-10.5;23.5
4.8;289755.0;-11,1;-79.0;15.0;16.0;83.6;210;1.0;80487.0;9.0;6.0;0.6051410000;2.0;24.0;17.5;0.0000000000;52.0;-10.5;23.5
4.7;293207.0;-11,1;-79.0;15.0;17.0;82.3;210;1.0;81361.0;9.0;6.0;0.5181910000;2.0;24.0;16.5;0.0000000000;52.0;-10.5;23.5
5.0;296217.0;-11,1;-79.0;15.0;17.0;83.3;210;1.0;82235.0;9.0;6.0;0.8320030000;2.0;24.0;17.5;0.0000000000;52.0;-10.5;23.5
5.4;299496.0;-13,1;-79.0;15.0;15.0;83.0;210;1.0;83109.0;9.0;6.0;0.8585350000;2.0;25.0;17.0;0.0000000000;52.0;-10.5;23.5
5.2;302506.0;-11,1;-80.0;15.0;18.0;82.4;210;1.0;83983.0;9.0;6.0;0.7428410000;2.0;24.0;16.0;0.0000000000;52.0;-10.5;23.5
5.0;305958.0;-11,1;-79.0;15.0;18.0;85.7;210;1.0;84857.0;9.0;6.0;0.5737240000;2.0;24.0;19.5;0.0000000000;52.0;-10.5;23.5
4.9;309410.0;-11,1;-79.0;15.0;18.0;84.7;210;1.0;85731.0;9.0;6.0;0.2924280000;2.0;24.0;18.5;0.0000000000;52.0;-10.5;23.5
5.0;312721.0;-11,1;-79.0;15.0;15.0;82.0;210;1.0;86605.0;9.0;6.0;0.2019630000;2.0;24.0;16.5;0.0000000000;52.0;-10.5;23.5
4.9;315731.0;-9,1;-80.0;15.0;20.0;83.0;210;1.0;87479.0;9.0;6.0;0.1950790000;2.0;24.0;17.0;0.0000000000;52.0;-10.5;23.5
5.5;319311.0;-9,1;-78.0;15.0;15.0;79.9;210;1.0;88353.0;9.0;6.0;0.5281340000;2.0;24.0;15.0;0.0000000000;52.0;-10.5;23.5
5.1;322321.0;-9,1;-77.0;15.0;13.0;78.1;210;1.0;89227.0;9.0;6.0;0.7009860000;2.0;24.0;11.5;0.0000000000;52.0;-10.5;23.5
5.2;325632.0;-11;-78.0;15.0;17.0;82.9;210;1.0;90101.0;9.0;6.0;0.3068360000;2.0;24.0;16.5;0.0000000000;52.0;-10.5;23.5
5.6;329244.0;-11,1;-77.0;15.0;13.0;81.3;210;1.0;90975.0;9.0;6.0;0.1069870000;2.0;24.0;15.5;0.0000000000;52.0;-10.5;23.5
4.9;332094.0;-11,1;-77.0;15.0;13.0;82.1;210;1.0;91412.0;9.0;6.0;0.0373040000;2.0;24.0;16.0;0.0000000000;52.0;-10.5;23.5
5.0;335245.0;-11,1;-76.0;15.0;16.0;85.2;210;1.0;92286.0;9.0;6.0;0.0144520000;2.0;24.0;19.0;0.0000000000;52.0;-10.5;23.5
5.3;338665.0;-11,1;-77.0;15.0;17.0;84.0;210;1.0;92888.0;9.0;6.0;0.0193880000;2.0;25.0;9.0;0.0000000000;52.0;-10.5;23.5
3.8;342117.0;-11,1;-77.0;15.0;16.0;82.9;210;1.0;93762.0;9.0;6.0;0.0067600000;2.0;25.0;17.0;0.0000000000;52.0;-10.5;23.5
4.3;345537.0;-11,1;-77.0;15.0;15.0;83.4;210;1.0;94636.0;9.0;6.0;0.0023570000;2.0;24.0;10.0;0.0000000000;52.0;-10.5;23.5
4.7;348989.0;-11,1;-76.0;15.0;13.0;80.1;210;1.0;95510.0;9.0;6.0;0.0008220000;2.0;24.0;14.5;0.0000000000;52.0;-10.5;23.5
5.0;352268.0;-15,1;-77.0;15.0;13.0;80.1;210;1.0;96384.0;9.0;6.0;0.0162620000;2.0;24.0;14.5;0.0000000000;52.0;-10.5;23.5
4.6;355579.0;-11,1;-76.0;15.0;15.0;80.1;210;1.0;97258.0;9.0;6.0;0.0056700000;2.0;24.0;14.5;0.0000000000;52.0;-10.5;23.5
5.7;359063.0;-13,1;-77.0;15.0;15.0;82.3;210;1.0;98132.0;9.0;6.0;0.0675870000;2.0;24.0;17.0;0.0000000000;52.0;-10.5;23.5
4.5;362483.0;-15,1;-76.0;15.0;16.0;84.3;210;1.0;99006.0;9.0;6.0;0.0395090000;2.0;24.0;10.5;0.0000000000;52.0;-10.5;23.5
4.3;366063.0;-15,1;-77.0;15.0;16.0;83.2;210;1.0;99880.0;9.0;6.0;0.0297190000;2.0;24.0;18.0;0.0000000000;52.0;-10.5;23.5
4.5;369374.0;-11,1;-76.0;15.0;16.0;83.2;210;1.0;100754.0;9.0;6.0;0.0103620000;2.0;24.0;18.0;0.0000000000;52.0;-10.5;23.5
4.1;372557.0;-11,1;-77.0;15.0;16.0;84.4;210;1.0;101628.0;9.0;6.0;0.0040150000;2.0;24.0;10.5;0.0000000000;52.0;-10.5;23.5
5.2;376009.0;-11,1;-77.0;15.0;16.0;84.3;210;1.0;102502.0;9.0;6.0;0.0014000000;2.0;24.0;18.5;0.0000000000;52.0;-10.5;23.5
4.3;379557.0;-11,1;-77.0;15.0;16.0;82.2;210;1.0;103376.0;9.0;6.0;0.0182030000;2.0;24.0;16.5;0.0000000000;52.0;-10.5;23.5
3.6;382868.0;-15,1;-76.0;15.0;16.0;82.5;210;1.0;104250.0;9.0;6.0;0.0063470000;2.0;24.0;17.0;0.0000000000;52.0;-10.5;23.5
4.6;386083.0;-11,1;-77.0;15.0;16.0;84.0;210;1.0;105124.0;9.0;6.0;0.0024590000;2.0;25.0;18.5;0.0000000000;52.0;-10.5;23.5
4.8;389503.0;-15,1;-77.0;15.0;17.0;83.6;210;1.0;105998.0;9.0;6.0;0.0008570000;2.0;24.0;25.0;0.0000000000;52.0;-10.5;23.5
4.3;393051.0;-11,1;-77.0;15.0;16.0;81.3;210;1.0;106872.0;9.0;6.0;0.0199820000;2.0;25.0;16.0;0.0000000000;52.0;-10.5;23.5
