dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,ueId,predicted_anomaly,anomaly_score,authentication_status
38451.0,6.0,0.004751,163495.0,6.0,0.013449,1.0,28.0,25.0,-15.5,-3.0,-123.0,83.9,8.0,15.0,19.5,17.0,-1,-0.037146420848950035,rejected
39063.0,6.0,0.003117,169543.0,6.0,0.001817,1.0,27.0,24.0,-17.5,-6.0,-126.0,83.8,9.0,15.0,19.0,17.0,-1,-0.05923520141841321,rejected
39357.0,6.0,0.002525,172250.0,6.0,0.000704,1.0,28.0,24.0,-17.0,-4.5,-125.0,82.5,8.0,13.0,17.5,17.0,-1,-0.05147122711085572,rejected
39663.0,6.0,0.002045,175194.0,6.0,0.000245,1.0,28.0,24.0,-15.5,-3.0,-123.0,82.8,8.0,13.0,11.5,17.0,-1,-0.029614720348755452,rejected
39969.0,6.0,0.001656,178202.0,6.0,8.6e-05,1.0,29.0,24.0,-16.0,-3.0,-123.0,82.6,9.0,15.0,17.5,17.0,-1,-0.03256456602118207,rejected
40275.0,6.0,0.001342,181275.0,6.0,3e-05,1.0,28.0,24.0,-16.5,-4.5,-125.0,82.6,8.0,15.0,18.5,17.0,-1,-0.05222351787029633,rejected
40725.0,6.0,0.001087,184411.0,6.0,1e-05,1.0,30.0,24.0,-16.0,-4.0,-124.0,81.6,9.0,17.0,16.5,17.0,-1,-0.03358509715271607,rejected
41031.0,6.0,0.00088,187086.0,6.0,4e-06,1.0,28.0,24.0,-16.0,-3.5,-124.0,82.4,8.0,17.0,17.5,17.0,-1,-0.04301244711186458,rejected
41643.0,6.0,0.000578,192864.0,6.0,0.029525,1.0,28.0,24.0,-16.0,-3.0,-124.0,81.9,8.0,19.0,17.5,17.0,-1,-0.03755081698449436,rejected
41949.0,6.0,0.000468,195777.0,6.0,0.010295,1.0,28.0,24.0,-15.5,-2.5,-123.0,84.0,8.0,12.0,47.0,17.0,-1,-0.060196674102308334,rejected
42408.0,6.0,0.000341,201367.0,6.0,0.045907,1.0,27.0,24.0,-14.0,-0.5,-120.0,83.2,8.0,14.0,18.5,17.0,-1,-0.037691621016814,rejected
43020.0,6.0,0.000224,207275.0,6.0,0.006201,1.0,29.0,24.0,-15.5,-3.0,-123.0,82.0,8.0,16.0,17.5,,-1,-0.028386681273376957,rejected
43314.0,6.0,0.000181,210283.0,6.0,0.002162,1.0,29.0,24.0,-16.5,-3.5,-124.0,83.1,9.0,14.0,17.5,,-1,-0.040660829206687676,rejected
43776.0,6.0,0.000147,213227.0,6.0,0.000754,1.0,29.0,24.0,-16.0,-3.5,-124.0,82.0,8.0,14.0,11.0,,-1,-0.04370933547434652,rejected
44082.0,6.0,0.000119,216062.0,6.0,0.000263,1.0,30.0,24.0,-15.5,-2.5,-123.0,81.0,8.0,12.0,16.0,,-1,-0.030428070619769043,rejected
44388.0,6.0,9.6e-05,219135.0,6.0,9.2e-05,1.0,30.0,24.0,-15.0,-2.0,-122.0,79.9,8.0,14.0,16.0,18.0,-1,-0.027720189466760692,rejected
44682.0,6.0,7.8e-05,222143.0,6.0,0.072936,1.0,27.0,24.0,-16.0,-3.5,-124.0,82.4,8.0,14.0,11.5,18.0,-1,-0.05219712742923854,rejected
44988.0,6.0,6.3e-05,225119.0,6.0,0.025431,1.0,29.0,24.0,-15.0,-2.0,-123.0,80.9,8.0,15.0,17.0,18.0,-1,-0.026422225193199256,rejected
45294.0,6.0,5.1e-05,228223.0,6.0,0.008867,1.0,29.0,24.0,-17.0,-4.5,-125.0,81.0,8.0,13.0,17.0,18.0,-1,-0.049431118766365745,rejected
45600.0,6.0,4.1e-05,231296.0,6.0,0.003092,1.0,29.0,24.0,-16.5,-4.5,-125.0,82.0,8.0,13.0,18.5,18.0,-1,-0.05640235270973959,rejected
