ueId,rnti,inSync,dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,pmi,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,id,frame,slot,pci,dlCarrierFreq,ulCarrierFreq,avgLdpcIterations,timestamp
2,0e12,1,2212,0,0.004239,16419,6,0.999999,1,"(0,2)",58,24,-10.5,23.5,-73,82.3,2,13,17.5,12345678,109,19,0,3750240000,3750240000,12.9,1744627716676
1,6a3d,1,11760,0,0.035059,45674,6,1.0,1,"(0,3)",58,24,-10.5,23.5,-76,82.7,11,17,17.5,12345678,210,3,0,3750240000,3750240000,12.8,1744627717676
2,0e12,1,2275,0,0.003434,17622,6,1.0,1,"(0,2)",59,24,-10.5,23.5,-74,83.3,2,13,18.0,12345678,210,3,0,3750240000,3750240000,12.8,1744627717676
2,0e12,1,2338,0,0.002781,17685,6,1.0,2,"(0,1)",52,24,-10.5,23.5,-76,81.1,9,13,15.5,12345678,310,3,0,3750240000,3750240000,12.3,1744627718676
1,7f65,1,571,9,0.1,193,9,0.1,1,"(0,3)",52,24,-10.5,23.5,-78,86.0,15,24,22.0,12345678,310,3,0,3750240000,3750240000,12.3,1744627718676
2,0e12,1,2422,0,0.002253,18286,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-75,79.4,15,13,14.0,12345678,410,3,0,3750240000,3750240000,12.0,1744627719676
1,7f65,1,1005,9,0.09,1857,6,0.608275,1,"(0,3)",52,25,-10.5,23.5,-76,82.4,15,24,17.0,12345678,410,3,0,3750240000,3750240000,12.0,1744627719676
2,0e12,1,2464,0,0.001825,18950,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-74,80.8,9,12,15.0,12345678,510,3,0,3750240000,3750240000,12.2,1744627720676
1,7f65,1,1439,9,0.081,2759,6,0.848238,1,"(0,3)",52,25,-10.5,23.5,-76,79.7,15,22,15.0,12345678,510,3,0,3750240000,3750240000,12.2,1744627720676
2,0e12,1,2506,0,0.001478,19282,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-74,83.8,13,11,18.5,12345678,610,3,0,3750240000,3750240000,12.5,1744627721676
1,7f65,1,1873,9,0.0729,4231,6,0.941204,1,"(0,3)",52,25,-10.5,23.5,-76,80.8,11,20,16.0,12345678,610,3,0,3750240000,3750240000,12.5,1744627721676
2,0e12,1,2569,0,0.001197,19614,6,1.0,1,"(0,3)",58,24,-10.5,23.5,-73,84.2,15,13,19.0,12345678,710,3,0,3750240000,3750240000,12.7,1744627722676
1,7f65,1,1953,3,0.06561,5672,6,0.977221,1,"(0,3)",58,24,-10.5,23.5,-76,83.3,3,19,18.0,12345678,710,3,0,3750240000,3750240000,12.7,1744627722676
2,0e12,1,2632,0,0.00097,19677,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-73,82.4,15,12,17.5,12345678,809,19,0,3750240000,3750240000,12.6,1744627723676
1,7f65,1,2113,3,0.053144,6606,6,0.991175,1,"(0,3)",59,25,-10.5,23.5,-77,80.5,15,17,15.5,12345678,809,19,0,3750240000,3750240000,12.6,1744627723676
2,0e12,1,2674,0,0.000786,20278,6,1.0,2,"(0,0)",58,24,-10.5,23.5,-74,82.7,1,13,17.5,12345678,910,3,0,3750240000,3750240000,12.8,1744627724676
1,7f65,1,2273,3,0.043047,6970,6,0.996581,1,"(0,3)",59,24,-10.5,23.5,-77,82.2,3,17,17.0,12345678,910,3,0,3750240000,3750240000,12.8,1744627724676
2,0e12,1,2737,0,0.000636,20642,6,1.0,1,"(0,0)",59,24,-10.5,23.5,-73,82.1,9,13,17.0,12345678,1010,3,0,3750240000,3750240000,12.8,1744627725676
1,7f65,1,2315,0,0.034868,8205,6,0.998528,1,"(0,0)",58,24,-10.5,23.5,-76,81.6,3,18,16.0,12345678,1010,3,0,3750240000,3750240000,12.8,1744627725676
2,0e12,1,2800,0,0.000515,21006,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-73,82.2,15,13,17.0,12345678,86,3,0,3750240000,3750240000,12.9,1744627726676
1,7f65,1,2357,0,0.028243,8569,6,0.999366,1,"(0,3)",59,24,-10.5,23.5,-76,83.5,3,17,18.5,12345678,86,3,0,3750240000,3750240000,12.9,1744627726676
2,0e12,1,2861,0,0.000417,21069,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-73,83.7,15,12,18.5,12345678,186,3,0,3750240000,3750240000,12.8,1744627727676
1,7f65,1,2441,0,0.022877,9836,6,0.999727,1,"(0,3)",59,24,-10.5,23.5,-76,82.8,15,17,17.5,12345678,186,3,0,3750240000,3750240000,12.8,1744627727676
2,0e12,1,2901,0,0.000338,21132,6,1.0,1,"(0,0)",52,24,-10.5,23.5,-73,82.9,6,13,18.5,12345678,286,3,0,3750240000,3750240000,12.7,1744627728676
1,7f65,1,2483,0,0.01853,11372,6,0.999894,1,"(0,0)",59,24,-10.5,23.5,-77,82.4,15,18,17.5,12345678,286,3,0,3750240000,3750240000,12.7,1744627728676
2,0e12,1,2941,0,0.000274,21765,6,1.0,1,"(0,3)",58,24,-10.5,23.5,-73,83.5,4,13,18.5,12345678,385,19,0,3750240000,3750240000,12.7,1744627729676
1,7f65,1,2546,0,0.015009,12306,6,0.999959,1,"(0,3)",59,24,-10.5,23.5,-77,82.0,15,17,17.0,12345678,385,19,0,3750240000,3750240000,12.7,1744627729676
2,0e12,1,2983,0,0.000222,22097,6,1.0,1,"(0,0)",52,24,-10.5,23.5,-73,82.3,9,13,17.5,12345678,485,19,0,3750240000,3750240000,12.8,1744627730676
1,7f65,1,2588,0,0.012158,12971,6,0.999982,1,"(0,1)",59,24,-10.5,23.5,-77,80.0,11,16,14.5,12345678,485,19,0,3750240000,3750240000,12.8,1744627730676
2,0e12,1,3046,0,0.00018,22429,6,1.0,2,"(0,1)",58,24,-10.5,23.5,-73,83.5,4,14,18.5,12345678,586,3,0,3750240000,3750240000,12.7,1744627731676
1,7f65,1,2672,0,0.009848,14206,6,0.999993,1,"(0,3)",59,24,-10.5,23.5,-77,82.4,15,15,17.5,12345678,586,3,0,3750240000,3750240000,12.7,1744627731676
2,0e12,1,3088,0,0.000146,22793,6,1.0,2,"(0,1)",52,24,-10.5,23.5,-73,82.5,9,13,18.0,12345678,686,3,0,3750240000,3750240000,12.7,1744627732676
1,7f65,1,2714,0,0.007977,15409,6,0.999997,1,"(0,3)",58,24,-10.5,23.5,-77,82.0,15,16,17.0,12345678,686,3,0,3750240000,3750240000,12.7,1744627732676
2,0e12,1,3151,0,0.000131,22919,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-73,81.1,15,13,12.0,12345678,786,3,0,3750240000,3750240000,12.8,1744627733676
1,7f65,1,2756,0,0.006461,16375,6,0.999999,2,"(0,1)",59,24,-10.5,23.5,-77,81.6,5,16,16.0,12345678,786,3,0,3750240000,3750240000,12.8,1744627733676
2,0e12,1,3193,0,0.000106,22982,6,1.0,2,"(0,1)",52,24,-10.5,23.5,-73,83.3,3,13,18.0,12345678,885,19,0,3750240000,3750240000,12.7,1744627734676
1,7f65,1,2819,0,0.005233,17642,6,1.0,1,"(0,2)",59,24,-10.5,23.5,-77,82.0,10,16,17.0,12345678,885,19,0,3750240000,3750240000,12.7,1744627734676
2,0e12,1,3235,0,8.6e-05,23045,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-74,82.7,15,12,17.5,12345678,986,3,0,3750240000,3750240000,12.8,1744627735676
1,7f65,1,2882,0,0.004239,18307,6,1.0,2,"(0,1)",59,24,-10.5,23.5,-76,82.7,8,18,17.5,12345678,986,3,0,3750240000,3750240000,12.8,1744627735676
2,0e12,1,3256,0,7.7e-05,23045,6,1.0,2,"(0,1)",52,24,-10.5,23.5,-74,80.9,2,14,16.0,12345678,62,3,0,3750240000,3750240000,12.7,1744627736676
1,7f65,1,2966,0,0.003434,20144,6,1.0,2,"(0,1)",59,24,-10.5,23.5,-76,81.4,8,16,16.5,12345678,62,3,0,3750240000,3750240000,12.7,1744627736676
2,0e12,1,3340,0,5.6e-05,24042,6,1.0,2,"(0,1)",58,24,-10.5,23.5,-74,83.3,4,15,18.0,12345678,162,3,0,3750240000,3750240000,12.7,1744627737676
1,7f65,1,3008,0,0.002781,21078,6,1.0,2,"(0,1)",59,25,-10.5,23.5,-76,82.1,5,16,17.0,12345678,162,3,0,3750240000,3750240000,12.7,1744627737676
2,0e12,1,3382,0,4.6e-05,24406,6,1.0,2,"(0,0)",52,24,-10.5,23.5,-74,82.0,8,13,17.5,12345678,261,19,0,3750240000,3750240000,13.0,1744627738676
1,7f65,1,3071,0,0.002253,21141,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-75,82.1,11,15,17.0,12345678,261,19,0,3750240000,3750240000,13.0,1744627738676
2,0e12,1,3424,0,3.7e-05,25577,6,1.0,1,"(0,3)",58,24,-10.5,23.5,-74,82.6,15,14,17.5,12345678,362,3,0,3750240000,3750240000,12.6,1744627739676
1,7f65,1,3134,0,0.001825,22344,6,1.0,2,"(0,0)",59,25,-10.5,23.5,-76,82.2,3,17,17.0,12345678,362,3,0,3750240000,3750240000,12.6,1744627739676
2,0e12,1,3466,0,3e-05,27414,6,1.0,1,"(0,2)",59,24,-10.5,23.5,-74,83.1,1,14,17.0,12345678,462,3,0,3750240000,3750240000,12.6,1744627740676
1,7f65,1,3197,0,0.001478,23009,6,1.0,1,"(0,1)",59,25,-10.5,23.5,-76,82.5,1,16,17.5,12345678,462,3,0,3750240000,3750240000,12.6,1744627740676
2,0e12,1,3508,0,2.4e-05,28617,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-73,81.1,15,13,16.0,12345678,562,3,0,3750240000,3750240000,12.5,1744627741676
1,7f65,1,3281,0,0.001197,24212,6,1.0,1,"(0,3)",59,25,-10.5,23.5,-76,82.0,15,15,17.0,12345678,562,3,0,3750240000,3750240000,12.5,1744627741676
2,0e12,1,3550,0,2e-05,28680,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-73,82.4,15,14,17.5,12345678,662,3,0,3750240000,3750240000,12.6,1744627742676
1,7f65,1,3344,0,0.00097,25178,6,1.0,2,"(0,0)",59,25,-10.5,23.5,-75,81.6,6,15,16.0,12345678,662,3,0,3750240000,3750240000,12.6,1744627742676
2,0e12,1,3592,0,1.8e-05,29582,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-73,82.7,15,13,17.5,12345678,762,3,0,3750240000,3750240000,12.7,1744627743676
1,7f65,1,3386,0,0.000786,26381,6,1.0,1,"(0,3)",59,24,-10.5,23.5,-75,81.8,11,14,16.5,12345678,762,3,0,3750240000,3750240000,12.7,1744627743676
2,0e12,1,3634,0,1.6e-05,29851,6,1.0,2,"(0,0)",58,24,-10.5,23.5,-73,80.9,8,13,16.0,12345678,862,3,0,3750240000,3750240000,12.9,1744627744676
1,7f65,1,3428,0,0.000636,26444,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-75,81.3,3,14,16.0,12345678,862,3,0,3750240000,3750240000,12.9,1744627744676
2,0e12,1,3739,0,1.3e-05,29977,6,1.0,2,"(0,1)",52,24,-10.5,23.5,-74,82.8,3,14,17.5,12345678,962,3,0,3750240000,3750240000,12.9,1744627745676
1,7f65,1,3491,0,0.000515,26776,6,1.0,1,"(0,1)",58,24,-10.5,23.5,-75,82.0,1,13,17.5,12345678,962,3,0,3750240000,3750240000,12.9,1744627745676
2,0e12,1,3781,0,1.2e-05,30309,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-74,82.4,15,13,17.5,12345678,38,3,0,3750240000,3750240000,12.7,1744627746676
1,7f65,1,3554,0,0.000417,27409,6,1.0,1,"(0,3)",59,25,-10.5,23.5,-75,80.9,15,13,15.5,12345678,38,3,0,3750240000,3750240000,12.7,1744627746676
2,0e12,1,3823,0,1e-05,30910,6,1.0,2,"(0,1)",58,24,-10.5,23.5,-74,83.1,6,13,18.0,12345678,138,3,0,3750240000,3750240000,12.6,1744627747676
1,7f65,1,3596,0,0.000338,28343,6,1.0,2,"(0,1)",59,25,-10.5,23.5,-75,81.5,8,14,16.5,12345678,138,3,0,3750240000,3750240000,12.6,1744627747676
2,0e12,1,3844,0,9e-06,32050,6,1.0,2,"(0,0)",58,24,-10.5,23.5,-74,79.9,8,14,13.0,12345678,238,3,0,3750240000,3750240000,12.7,1744627748676
1,7f65,1,3659,0,0.000274,29277,6,1.0,2,"(0,0)",58,25,-10.5,23.5,-75,82.4,6,14,17.5,12345678,238,3,0,3750240000,3750240000,12.7,1744627748676
2,0e12,1,3928,0,8e-06,32445,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-74,82.3,4,13,17.0,12345678,337,19,0,3750240000,3750240000,12.7,1744627749676
1,7f65,1,3701,0,0.000222,30211,6,1.0,1,"(0,1)",58,24,-10.5,23.5,-75,82.5,5,16,17.5,12345678,337,19,0,3750240000,3750240000,12.7,1744627749676
2,0e12,1,3949,0,7e-06,33617,6,1.0,1,"(0,3)",59,24,-10.5,23.5,-74,80.8,15,14,16.5,12345678,438,3,0,3750240000,3750240000,12.8,1744627750676
1,7f65,1,3743,0,0.00018,30844,6,1.0,1,"(0,2)",58,24,-10.5,23.5,-75,81.1,10,14,16.0,12345678,438,3,0,3750240000,3750240000,12.8,1744627750676
2,0e12,1,4012,0,6e-06,34313,6,1.0,2,"(0,0)",52,24,-10.5,23.5,-74,82.1,1,15,16.5,12345678,538,3,0,3750240000,3750240000,12.5,1744627751676
1,7f65,1,3785,0,0.000146,32079,6,1.0,1,"(0,1)",59,25,-10.5,23.5,-75,81.9,1,14,16.5,12345678,538,3,0,3750240000,3750240000,12.5,1744627751676
2,0e12,1,4054,0,5e-06,34914,6,1.0,2,"(0,0)",52,24,-10.5,23.5,-74,82.2,14,16,17.0,12345678,638,3,0,3750240000,3750240000,12.6,1744627752676
1,7f65,1,3827,0,0.000118,33282,6,1.0,1,"(0,3)",58,24,-10.5,23.5,-75,82.1,15,15,17.0,12345678,638,3,0,3750240000,3750240000,12.6,1744627752676
2,0e12,1,4075,0,4e-06,35516,6,1.0,2,"(0,1)",59,24,-10.5,23.5,-74,82.0,6,13,17.5,12345678,738,3,0,3750240000,3750240000,12.8,1744627753676
1,7f65,1,3890,0,9.6e-05,33947,6,1.0,2,"(0,0)",52,25,-10.5,23.5,-76,81.2,6,15,16.0,12345678,738,3,0,3750240000,3750240000,12.8,1744627753676
2,0e12,1,4134,0,4e-06,36149,6,1.0,2,"(0,0)",59,24,-10.5,23.5,-73,80.1,12,15,16.0,12345678,838,3,0,3750240000,3750240000,12.8,1744627754676
1,7f65,1,3932,0,7.7e-05,34279,6,1.0,1,"(0,3)",52,24,-10.5,23.5,-76,81.9,3,17,17.0,12345678,838,3,0,3750240000,3750240000,12.8,1744627754676
2,0e12,1,4197,0,3e-06,36782,6,1.0,1,"(0,3)",58,24,-10.5,23.5,-73,80.2,15,14,15.0,12345678,938,3,0,3750240000,3750240000,12.7,1744627755676
1,7f65,1,3974,0,6.3e-05,35181,6,1.0,1,"(0,0)",59,25,-10.5,23.5,-76,79.3,3,15,13.5,12345678,938,3,0,3750240000,3750240000,12.7,1744627755676
